parameter, user, system, elpased, timeit diffwl,2.55,0.06,02.61,
wl,2.54,0.07,03.05,
wl,2.67,0.07,03.16,
wl,2.59,0.07,03.06,
wl,2.59,0.06,03.08,
wl,2.52,0.06,03.05,
wl,2.58,0.06,03.11,
wl,2.58,0.04,03.06,
wl,2.77,0.04,03.30,
wl,2.65,0.05,03.17,
wl,2.58,0.06,03.09,
wl,2.56,0.04,03.02,
wl,2.55,0.04,03.02,
wl,2.58,0.06,03.10,
wl,2.56,0.06,03.04,
wl,2.67,0.07,03.36,
wl,2.55,0.08,03.11,
wl,2.58,0.05,03.09,
wl,2.58,0.06,03.07,
wl,2.57,0.06,03.09,
wl,2.52,0.08,03.11,
wl,2.52,0.08,03.24,
wl,2.62,0.04,02.91,
wl,2.54,0.06,03.00,
wl,2.69,0.05,03.19,
wl,2.58,0.04,03.12,
wl,2.57,0.04,03.05,
wl,2.58,0.04,03.12,
wl,2.57,0.05,03.06,
wl,2.59,0.06,03.14,
wl,2.56,0.05,03.05,
wl,2.70,0.06,03.17,
wl,2.64,0.04,03.49,
wl,2.61,0.06,02.76,
wl,2.85,0.03,03.34,
wl,2.81,0.06,03.35,
wl,2.53,0.06,03.03,
wl,2.56,0.08,03.12,
wl,2.53,0.07,03.08,
wl,2.58,0.06,03.07,
wl,2.56,0.05,03.10,
wl,2.59,0.06,03.08,
wl,2.58,0.04,03.10,
wl,2.64,0.04,03.57,
wl,2.50,0.05,02.62,
wl,2.49,0.08,03.05,
wl,2.60,0.04,03.11,
wl,2.65,0.08,03.16,
wl,2.58,0.05,03.11,
wl,2.51,0.08,03.05,
wl,2.60,0.06,03.13,
wl,2.53,0.06,03.04,
wl,2.68,0.06,03.19,
wl,2.54,0.05,03.03,
wl,2.58,0.04,03.07,
wl,2.59,0.04,03.06,
wl,2.60,0.04,03.08,
wl,2.56,0.04,03.06,
wl,2.56,0.04,03.03,
wl,2.57,0.05,03.06,
wl,2.68,0.04,03.18,
wl,2.62,0.03,03.09,
wl,2.57,0.04,03.07,
wl,2.57,0.04,03.06,
wl,2.62,0.04,03.61,
wl,2.62,0.05,02.68,
wl,2.58,0.04,03.05,
wl,2.60,0.04,03.08,
wl,2.58,0.04,03.06,
wl,2.59,0.07,03.13,
wl,2.67,0.05,03.16,
wl,2.60,0.06,03.10,
wl,2.62,0.04,03.14,
wl,2.59,0.06,03.08,
wl,2.62,0.07,03.12,
wl,2.56,0.07,03.07,
wl,2.55,0.05,03.07,
wl,2.60,0.07,03.10,
wl,2.55,0.06,03.08,
wl,2.63,0.06,03.12,
wl,2.57,0.05,03.06,
wl,2.55,0.06,03.05,
wl,2.61,0.06,03.11,
wl,2.58,0.03,03.05,
wl,2.59,0.06,03.12,
wl,2.59,0.05,03.07,
wl,2.62,0.03,03.09,
wl,2.61,0.06,03.27,
wl,2.49,0.09,02.88,
wl,2.59,0.07,03.11,
wl,2.62,0.07,03.15,
wl,2.61,0.04,03.09,
wl,2.55,0.05,03.06,
wl,2.55,0.06,03.06,
wl,2.63,0.04,03.15,
wl,2.58,0.06,03.08,
wl,2.61,0.06,03.12,
wl,2.62,0.04,03.11,
wl,2.52,0.08,03.34,
wl,2.79,0.06,02.96,
rl,2.90,0.08,02.99,
rl,2.87,0.08,02.96,
rl,2.92,0.11,03.04,
rl,2.85,0.12,02.98,
rl,2.88,0.12,03.01,
rl,2.88,0.10,02.99,
rl,2.92,0.07,03.00,
rl,2.96,0.12,03.08,
rl,2.90,0.08,02.98,
rl,2.86,0.09,02.96,
rl,2.85,0.14,03.00,
rl,2.88,0.10,02.99,
rl,2.86,0.12,02.98,
rl,2.90,0.10,03.00,
rl,2.90,0.14,03.04,
rl,2.90,0.08,02.99,
rl,2.86,0.10,02.97,
rl,2.89,0.12,03.02,
rl,2.92,0.11,03.04,
rl,2.86,0.11,02.98,
rl,2.86,0.08,02.95,
rl,2.90,0.10,03.00,
rl,2.90,0.07,02.97,
rl,2.90,0.08,02.99,
rl,2.84,0.12,02.97,
rl,2.88,0.10,02.99,
rl,2.85,0.10,02.96,
rl,2.84,0.12,02.97,
rl,2.86,0.12,02.98,
rl,2.84,0.12,02.97,
rl,2.84,0.12,02.97,
rl,2.86,0.13,03.00,
rl,2.87,0.10,02.97,
rl,2.92,0.09,03.01,
rl,2.86,0.14,03.01,
rl,2.87,0.11,02.99,
rl,2.88,0.08,02.96,
rl,2.88,0.14,03.02,
rl,2.91,0.11,03.02,
rl,2.88,0.10,02.98,
rl,2.80,0.14,02.96,
rl,2.84,0.10,02.95,
rl,2.82,0.13,02.96,
rl,2.93,0.11,03.05,
rl,2.81,0.14,02.96,
rl,2.88,0.08,02.97,
rl,2.82,0.13,02.96,
rl,2.83,0.14,02.97,
rl,2.89,0.09,02.99,
rl,2.91,0.10,03.01,
rl,2.85,0.12,02.99,
rl,2.86,0.12,02.99,
rl,2.84,0.13,02.98,
rl,2.88,0.08,02.97,
rl,2.87,0.12,02.99,
rl,2.91,0.10,03.02,
rl,2.85,0.11,02.97,
rl,2.92,0.10,03.03,
rl,2.87,0.08,02.96,
rl,2.81,0.14,02.95,
rl,2.86,0.10,02.97,
